DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,25,3039.0,1.0,3039.0,0.0,0.0,6070.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,26,3039.0,1.0,3039.0,0.0,0.0,6282.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,27,3039.0,1.0,3039.0,0.0,0.0,6658.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,28,3039.0,1.0,3039.0,0.0,0.0,6775.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,29,3039.0,1.0,3039.0,0.0,0.0,7105.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,30,3039.0,1.0,3039.0,0.0,0.0,7473.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,31,3039.0,1.0,3039.0,0.0,0.0,7714.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,32,3039.0,1.0,3039.0,0.0,0.0,7955.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,33,3039.0,1.0,3039.0,0.0,0.0,8120.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,34,3039.0,1.0,3039.0,0.0,0.0,8576.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,35,3039.0,1.0,3039.0,0.0,0.0,8632.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,36,3039.0,1.0,3039.0,0.0,0.0,9001.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,37,3039.0,1.0,3039.0,0.0,0.0,9224.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,38,3039.0,1.0,3039.0,0.0,0.0,9631.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,39,3039.0,1.0,3039.0,0.0,0.0,9723.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,40,3039.0,1.0,3039.0,0.0,0.0,10128.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,41,3039.0,1.0,3039.0,0.0,0.0,10255.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,42,3039.0,1.0,3039.0,0.0,0.0,10666.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,43,3039.0,1.0,3039.0,0.0,0.0,10864.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,44,3039.0,1.0,3039.0,0.0,0.0,11161.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,45,3039.0,1.0,3039.0,0.0,0.0,11791.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,46,3039.0,1.0,3039.0,0.0,0.0,11606.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,47,3039.0,1.0,3039.0,0.0,0.0,11847.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,48,3039.0,1.0,3039.0,0.0,0.0,12386.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,49,3039.0,1.0,3039.0,0.0,0.0,12385.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,1,6731.0,0.0,0.0,0.0,0.0,163.0,214.0,0.0,6731.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,2,5370.0,1.0,5746.5,0.0,0.0,453.0,174.0,214.0,376.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,3,4637.0,1.0,4504.0,0.0,0.0,795.0,193.0,122.0,133.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,4,4052.0,1.0,4002.0,0.0,0.0,1058.0,164.0,183.0,50.0
